name,ring,quadrant,isNew,description
TID-C,Adopt,Auth/Authorization/Access,FALSE,Single sign on solution developed by Tyler and based on Okta. TID-C is intended to be used for citizen IDs.
TID-W,Adopt,Auth/Authorization/Access,FALSE,Single sign on solution developed by Tyler and based on Okta. TID-W is intended to be used for agency user IDs.
Tableau,Evaluate,Tools/Techniques,FALSE,Tableau
Telerik,Evaluate,Tools/Techniques,FALSE,Telerik
Ubuntu,Hold,Tools/Techniques,FALSE,Ubuntu
Umbraco,Adopt,Data/Content,FALSE,Umbraco
UptimeRobot,Adopt,Tools/Techniques,FALSE,UptimeRobot
Vue JS,Adopt,Development/Frameworks,FALSE,Vue JS
Wordpress,Adopt,Data/Content,FALSE,Wordpress
Xamarin,Hold,Development/Frameworks,FALSE,Xamarin
iOS,Adopt,Tools/Techniques,FALSE,iOS
Azure AD,Adopt,Auth/Authorization/Access,FALSE,Single Sign On
Auth0,Evaluate,Auth/Authorization/Access,False,IAM Platform
Login.gov,Hold,Auth/Authorization/Access,False,Federal government IAM solution
Tyler Assurance,Adopt,Tools/Techniques,FALSE,"Tyler Assurance is a Test Automation Platform that specializes in UI Test Automation. Our solution consists of our Automation Framework, Test Results Website, and our online training. https://confl.tylertech.com/display/TylerAssurance/Tyler+Assurance"
Tyler Forge,Adopt,Tools/Techniques,FALSE,RAI design and development framework. Tyler developed and maintained. Built around Tyler branding and standardization
